﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿본 연구는 예술심리학이 미술의 치유적 효과를 설명하는 이론적 틀의 정립에 얼마나 유익한 통찰을 제공해 줄 수 있는지를 이론적으로 고찰해보고자 한다|This study intended to have a theoretical review on how useful insight the psychology of art can provide for the establishment of the theoretical framework for explaining the healing effect of art
이를 위해 우선 예술심리학의 주요 이론과 연구문제를 살펴보고, 이 이론들이 미술치료 이론의 발전에 어떤 역할을 할 수 있는지, 그 가능성과 한계를 구체적으로 분석하고자 한다|For this, the study primarily examined the major theories and research issues of the art psychology and analyzed roles such theories play for the advancement of art therapy theory, particularly their potentials and limits
본 연구의 결과는 다음과 같다|The results of this study are as follows
첫째로 기존의 예술심리학 이론들은 미술의 치유적 효과에 대한 이론적 논거에 실제적 기초를 제공하는데 한계를 지닌 것으로 나타났다|First, the art therapy theories in the past had limits in providing the realistic basis for the theoretical grounds for argument for the healing effect of art
둘째로 시각적 사고에 대한 예술심리학적 논의에 의하면 이미지, 즉 그림은 언어적으로 접근할 수 없는 마음의 측면에 접근할수 있도록 하고, 주의를 집중할 수 있는 감각적 닺을 제공하여, 문제를 더욱 다양하고 깊이있게 처리할 수 있도록 하고, 정서적분위기를 고취하여 자기관여를 증가시켜, 더욱 자신의 문제에 관심을 기울이도록 돕는다|Second, the image, the picture, lets viewers approach the aspect of the mind that cannot be reached linguistically, provides them with the sensible anchor to concentrate the mind to handle issues more variously and in depth, and arouses emotional mood and increases self-involvement to pay more attention to their own issues according to the art-psychology discussion on visual thinking
그리고 이미지는 자유롭게 사고하고 상상하도록 하여 다양한 가능성을 탐색하도록 함으로서 자신의 문제에 대한 통찰을 경험하도록 한다|Furthermore, the image lets viewers think and imagine freely to explore various possibilities and experience the insight about their own issues
이와 같은 미술의 치유적효과에 대한 예술심리학적 논의는 그동안 미술치료의 연구에서 등한시되어 온 미술치료의 효과에 대한 이론적 논거에 실제적기초를 제공해 줌으로써 미술이 지니고 있는 power에 의한 미술치료 이론을 세우는 데 크게 기여할 것으로 기대된다|Such art-psychology discussions on the healing effect of art provides the realistic basis for the theoretical grounds of argument about the effect of art therapy that has been neglected in the study of art therapy and is expected to make a great contribution to the establishment of art therapy theory based on the power of art
이는 또한 다른 유형의 심리치료들과의 차별성을 드러내도록 함으로써 미술치료의 학문적 정체성을 강화하는데도 중요하게 작용할 수 있을 것으로 기대된다.(임상미술치료학연구 2013;8(2):27-37)|This study is expected to have important implications for intensifying the academic identity of art therapy through the differences from other types of psychological therapies.
[문서구분]|[Document Separation]
﻿﻿CAT-VPT(Clinical Art Therapy Visual Perception Test) 는 환자의 시야확장 및 색채의 인지 평가를 위해 개발되어진 도구이다|CAT-VPT(Clinical Art Therapy Visual Perception Test) is a diagnostic measurement tool which developed as assessing patient`s expanditory perception and color cognitive function
